M = multiplicity (number of factorizations)
F = number of factors
N = number
P = product

M F N           P
- - ----------   -------------
1 3 123459678 = 9*83*165274
1 4 123475896 = 9*34*562*718
1 4 123475968 = 4*87*512*693
2 3 123475968 = 24*87*59136
3 3 123475968 = 87*924*1536
1 3 123497568 = 19*864*7523
1 2 123547968 = 48*2573916
1 3 123564798 = 7*54*326891
1 3 123569874 = 9*162*84753
1 3 123597684 = 54*238*9617
1 3 123647895 = 9*185*74263
1 3 123649578 = 6*39*528417
1 2 123698574 = 2598*47613
1 3 123698745 = 3*45*916287
1 4 123759468 = 3*7*9*654812
1 2 123789456 = 21*5894736
1 4 123795648 = 4*6*9*573128
1 4 123876459 = 7*59*483*621
1 3 123876954 = 2*97*638541
1 3 123945768 = 24*87*59361
1 3 123956784 = 24*537*9618
1 3 123965478 = 39*42*75681
1 4 123967584 = 8*39*52*7641
1 2 123975684 = 2394*51786
1 4 124358976 = 3*69*84*7152
1 3 124367958 = 9*26*531487
2 2 124367958 = 627*198354
1 2 124378596 = 51*2438796
1 2 124379865 = 645*192837
1 2 124395876 = 159*782364
1 3 124397568 = 4*32*971856
1 2 124398576 = 48*2591637
1 2 124538976 = 159*783264
1 3 124579638 = 23*571*9486
1 3 124593876 = 27*516*8943
1 3 124598736 = 3*54*769128
1 2 124739586 = 3*41579862
1 3 124739856 = 9*184*75326
1 2 124765938 = 759*164382
1 3 124783659 = 27*819*5643
2 4 124783659 = 57*63*81*429
1 2 124793586 = 3*41597862
1 3 124853796 = 9*53*261748
1 4 124895736 = 7*9*516*3842
1 3 124936578 = 9*2683*5174
1 4 124938576 = 7*8*951*2346
1 2 124958367 = 3*41652789
1 2 124958637 = 3*41652879
1 3 124958736 = 18*742*9356
1 4 124987536 = 8*61*93*2754
2 2 124987536 = 18*6943752
3 3 124987536 = 24*918*5673
1 3 125348796 = 9*852*16347
1 3 125368479 = 9*1653*8427
1 3 125374896 = 16*927*8453
1 2 125389746 = 3*41796582
1 3 125389764 = 18*73*95426
1 2 125394768 = 3*41798256
1 4 125439678 = 9*63*254*871
2 3 125439678 = 39*42*76581
1 2 125467398 = 21*5974638
1 4 125478396 = 9*37*81*4652
1 2 125486973 = 8637*14529
1 2 125489376 = 1938*64752
1 3 125734896 = 6*24*873159
1 4 125749368 = 4*6*9*582173
1 4 125793468 = 4*9*61*57283
1 3 125793486 = 42*819*3657
2 4 125793486 = 49*53*78*621
3 3 125793486 = 91*567*2438
1 4 125793864 = 7*9*813*2456
1 2 125869347 = 1689*74523
1 2 125897346 = 3*41965782
1 2 125934768 = 3*41978256
1 4 125936748 = 3*9*574*8126
1 3 125937684 = 9*2137*6548
1 2 126473958 = 3*42157986
1 2 126479358 = 3*42159786
1 2 126498753 = 27*4685139
1 3 126537984 = 3*768*54921
1 2 126538974 = 3*42179658
1 2 126589734 = 3*42196578
1 3 126745398 = 27*54*86931
1 2 126749853 = 2169*58437
1 3 126783954 = 6*9*2347851
1 3 126845937 = 9*571*24683
1 4 126957348 = 9*61*84*2753
1 4 126957834 = 3*9*62*75841
1 4 127359648 = 6*9*754*3128
2 4 127359648 = 9*23*754*816
3 3 127359648 = 32*459*8671
4 3 127359648 = 92*754*1836
1 4 127384956 = 4*9*67*52813
1 3 127386945 = 163*827*945
1 3 127394685 = 9*17*832645
1 2 127435968 = 96*1327458
1 4 127456938 = 3*69*721*854
1 3 127459836 = 9*23*615748
1 3 127463598 = 6*249*85317
1 2 127495368 = 132*965874
1 3 127538469 = 9*57*248613
1 2 127539648 = 2148*59376
1 2 127569348 = 597*213684
1 4 127593648 = 6*52*98*4173
2 4 127593648 = 7*91*234*856
1 3 127593684 = 27*53*89164
1 4 127596384 = 4*61*538*972
1 3 127598463 = 87*321*4569
1 3 127639584 = 97*864*1523
1 3 127653894 = 38*619*5427
1 2 127685394 = 3*42561798
1 2 127685934 = 3*42561978
1 3 127693845 = 5*9*2837641
1 4 127853964 = 4*57*81*6923
2 3 127853964 = 84*513*2967
1 2 127854936 = 198*645732
1 3 127856493 = 9*31*458267
1 2 127893456 = 942*135768
1 2 127948563 = 69*1854327
1 4 127953864 = 4*62*591*873
1 4 127986534 = 3*9*541*8762
1 2 128349675 = 1983*64725
1 2 128356974 = 54*2376981
1 3 128359476 = 2*7*9168534
1 2 128367495 = 3*42789165
1 2 128379645 = 2631*48795
1 3 128439675 = 3*861*49725
1 3 128439756 = 6*9*2378514
1 3 128457936 = 38*72*46951
1 3 128473956 = 4*9*3568721
1 4 128549376 = 9*32*547*816
1 2 128564973 = 4971*25863
1 2 128574396 = 948*135627
1 4 128593476 = 4*9*583*6127
1 2 128637495 = 3*42879165
1 2 128654397 = 219*587463
1 2 128694735 = 2685*47931
1 3 128745936 = 3*792*54186
1 3 128794536 = 9*312*45867
1 2 128943576 = 1368*94257
1 3 128943657 = 3*51*842769
2 2 128943657 = 153*842769
1 3 128946375 = 9*61*234875
1 3 128967354 = 2*9*7164853
1 3 128974356 = 21*657*9348
1 4 128976435 = 3*7*9*682415
1 3 129346875 = 9*21*684375
1 3 129357648 = 56*97*23814
1 3 129357864 = 24*87*61953
1 4 129358674 = 3*9*61*78542
1 3 129368745 = 9*213*67485
1 2 129375864 = 456*283719
1 2 129378546 = 198*653427
2 2 129378546 = 297*435618
1 2 129386745 = 867*149235
1 2 129387456 = 198*653472
1 2 129458736 = 792*163458
1 2 129473658 = 6*21578943
1 5 129473856 = 4*6*8*93*7251
1 3 129567438 = 234*561*987
2 2 129567438 = 2961*43758
1 2 129647385 = 2961*43785
1 3 129657348 = 18*762*9453
1 3 129673485 = 5*981*26437
1 3 129674358 = 53*891*2746
1 3 129763458 = 54*279*8613
2 3 129763458 = 261*594*837
1 4 129763584 = 6*8*34*79512
1 3 129834657 = 61*243*8759
1 3 129873456 = 8*46*352917
1 3 132475896 = 9*854*17236
1 3 132475986 = 3*846*52197
1 3 132497856 = 96*183*7542
1 3 132564978 = 53*91*27486
1 2 132574689 = 2859*46371
1 2 132574968 = 1692*78354
1 3 132576894 = 31*59*72486
1 2 132589674 = 42*3156897
1 2 132697485 = 489*271365
1 3 132697845 = 5*81*327649
1 4 132698475 = 7*9*325*6481
1 3 132698574 = 6*9*2457381
1 4 132759648 = 4*56*729*813
2 4 132759648 = 9*24*756*813
3 3 132759648 = 9*54*273168
4 2 132759648 = 972*136584
1 3 132765498 = 9*31*475862
2 2 132765498 = 93*1427586
3 2 132765498 = 687*193254
1 3 132769854 = 2*7*9483561
1 3 132784596 = 3*4572*9681
1 3 132794586 = 54*89*27631
1 4 132794856 = 8*9*241*7653
1 3 132795684 = 36*49*75281
1 3 132854796 = 27*538*9146
1 3 132856794 = 54*917*2683
1 3 132894675 = 87*93*16425
1 2 132894756 = 1692*78543
1 3 132947568 = 3*72*615498
1 2 132958467 = 183*726549
1 3 132975846 = 261*538*947
1 3 132975864 = 54*62*39718
1 3 132976584 = 9*3172*4658
1 4 134265978 = 3*7*98*65241
1 3 134286579 = 3*519*86247
1 3 134297856 = 8*352*47691
2 2 134297856 = 42*3197568
3 2 134297856 = 5376*24981
1 2 134586297 = 51*2638947
1 3 134589276 = 3*618*72594
1 3 134589672 = 2*7*9613548
1 3 134596728 = 3*972*46158
2 4 134596728 = 7*56*81*4239
1 2 134598672 = 27*4985136
1 2 134627958 = 57*2361894
1 2 134628957 = 159*846723
1 4 134678592 = 4*8*531*7926
1 3 134695872 = 9*36*415728
1 4 134698752 = 38*51*96*724
1 3 134726598 = 291*534*867
