M = multiplicity (number of factorizations)
F = number of factors
N = number
P = product

M F N            P
- - ----------   -------------- 
1 2 1036852974 = 18*57602943
1 3 1036875294 = 2*9*57604183
1 2 1036894572 = 13902*74586
1 5 1036927584 = 4*7*9*506*8132
2 3 1036927584 = 152*963*7084
1 2 1036952847 = 26901*38547
1 2 1036982754 = 6*172830459
1 2 1036985724 = 6*172830954
1 3 1037245986 = 9*18*6402753
1 3 1037289645 = 81*469*27305
1 4 1037459826 = 6*81*403*5297
1 4 1037524896 = 4*8*9*3602517
1 3 1037548629 = 3*507*682149
1 3 1037564928 = 4*32*8105976
1 2 1037569248 = 3576*290148
1 3 1037582946 = 3*69*5012478
1 4 1037584296 = 3*7*548*90162
2 4 1037584296 = 3*9*548*70126
1 2 1037592468 = 132*7860549
1 2 1037625948 = 57*18203964
1 3 1037628594 = 2*97*5348601
1 3 1037629845 = 9*4305*26781
1 2 1037645928 = 132*7860954
1 4 1037684592 = 4*7*628*59013
2 2 1037684592 = 1896*547302
1 2 1037849562 = 138*7520649
1 3 1037942685 = 185*607*9243
1 3 1037945628 = 9*547*210836
1 2 1037954268 = 2964*350187
1 2 1037982456 = 25368*40917
1 2 1037982645 = 28749*36105
1 4 1038254976 = 9*31*704*5286
1 2 1038269745 = 261*3978045
1 3 1038279654 = 3*5079*68142
2 3 1038279654 = 246*831*5079
1 4 1038425976 = 7*9*514*32068
1 3 1038429756 = 2*637*815094
1 4 1038469572 = 3*54*71*90286
1 4 1038492576 = 6*48*513*7029
2 2 1038492576 = 18*57694032
1 2 1038549276 = 963*1078452
1 2 1038567492 = 6*173094582
1 2 1038594762 = 138*7526049
1 3 1038627954 = 26*459*87031
1 3 1038659472 = 548*612*3097
1 2 1038675924 = 1068*972543
1 4 1038746592 = 6*39*87*51024
1 3 1038752496 = 9*874*132056
1 3 1038759624 = 56*79*234801
1 2 1038762594 = 51*20367894
1 2 1038795264 = 384*2705196
1 3 1038974652 = 74*2601*5398
1 2 1039256748 = 6*173209458
1 2 1039425768 = 984*1056327
1 3 1039465782 = 9*5678*20341
1 4 1039468752 = 6*7*4938*5012
1 4 1039475268 = 6*51*702*4839
2 2 1039475268 = 2106*493578
1 3 1039546872 = 9*84*1375062
1 4 1039576824 = 4*9*3562*8107
1 5 1039578624 = 3*8*9*64*75201
2 4 1039578624 = 3*48*96*75201
3 4 1039578624 = 8*27*96*50134
1 3 1039647825 = 25*4671*8903
1 2 1039654728 = 21*49507368
1 2 1039657428 = 57*18239604
1 3 1039678542 = 7*9*16502834
1 2 1039682754 = 6*173280459
1 3 1039684275 = 3*75*4620819
1 2 1039685724 = 6*173280954
1 2 1039742856 = 1068*973542
1 2 1039746528 = 6792*153084
1 4 1039765248 = 8*27*96*50143
1 3 1039784256 = 27*938*41056
1 2 1039785246 = 51*20387946
1 3 1039827456 = 3*4608*75219
2 3 1039827456 = 72*96*150438
1 4 1039846752 = 7*8*51*364092
1 2 1039856472 = 57*18243096
1 2 1042359678 = 27*38605914
1 4 1042378596 = 34*62*501*987
2 2 1042378596 = 51*20438796
1 3 1042397586 = 27*4038*9561
1 3 1042536789 = 7*9*16548203
1 2 1042569387 = 2907*358641
1 3 1042573896 = 27*403*95816
2 3 1042573896 = 62*351*47908
3 3 1042573896 = 312*609*5487
1 2 1042637958 = 2103*495786
1 3 1042657938 = 9*14*8275063
2 2 1042657938 = 21*49650378
1 4 1042793856 = 4*6*537*80912
2 2 1042793856 = 384*2715609
1 3 1042793865 = 5*2403*86791
1 2 1042853796 = 10572*98643
1 2 1042863975 = 213*4896075
1 3 1042867539 = 9*413*280567
1 3 1042897536 = 9*1643*70528
2 3 1042897536 = 29*5301*6784
1 3 1042938576 = 9*136*852074
1 3 1042978356 = 54*213*90678
1 2 1043268759 = 39*26750481
1 3 1043268975 = 9*413*280675
1 2 1043568297 = 28947*36051
1 2 1043568972 = 138*7562094
1 4 1043597268 = 6*42*589*7031
2 3 1043597268 = 89*217*54036
1 4 1043629785 = 9*205*671*843
1 2 1043657829 = 51*20463879
1 2 1043695872 = 1902*548736
1 3 1043768295 = 3*867*401295
1 2 1043769825 = 3675*284019
1 3 1043792568 = 78*2604*5139
1 2 1043796258 = 4071*256398
1 2 1043879256 = 21*49708536
1 4 1043976528 = 7*48*51*60923
1 3 1043978256 = 73*152*94086
1 4 1043986752 = 3*8*72*604159
1 4 1045287936 = 3*72*896*5401
1 3 1045298376 = 19*647*85032
1 2 1045378269 = 39*26804571
1 4 1045386972 = 7*81*329*5604
2 3 1045386972 = 21*987*50436
1 2 1045396872 = 57*18340296
2 2 1045396872 = 1482*705396
1 3 1045639728 = 2*574*910836
2 4 1045639728 = 6*7*984*25301
1 3 1045829376 = 32*796*41058
1 4 1045836792 = 4*6*819*53207
1 3 1045892736 = 3*504*691728
1 3 1045967328 = 14*76*983052
1 3 1045967832 = 263*504*7891
1 3 1045973682 = 29*538*67041
1 2 1046237598 = 2571*406938
1 3 1046287935 = 21*63*790845
1 4 1046378592 = 6*8*42*519037
1 3 1046587932 = 51*78*263094
1 2 1046793258 = 534*1960287
1 3 1046798235 = 9*645*180327
2 3 1046798235 = 465*831*2709
3 2 1046798235 = 2709*386415
1 4 1046837592 = 4*6*5307*8219
1 4 1046839752 = 3*84*701*5926
1 3 1046935782 = 2*5407*96813
1 3 1046937528 = 49*351*60872
1 4 1046975328 = 7*8*612*30549
1 2 1047285936 = 6948*150732
1 3 1047293568 = 136*954*8072
2 2 1047293568 = 5406*193728
1 3 1047325986 = 7*5013*29846
1 4 1047328965 = 3*47*921*8065
1 3 1047359268 = 3*57*6124908
1 4 1047386592 = 7*68*501*4392
2 3 1047386592 = 56*918*20374
1 4 1047398256 = 3*9*76*510428
1 4 1047638592 = 7*312*506*948
2 4 1047638592 = 9*52*316*7084
3 4 1047638592 = 79*84*312*506
1 3 1047693285 = 81*2637*4905
2 3 1047693285 = 405*981*2637
1 3 1047698253 = 7*459*326081
1 4 1047852936 = 6*51*78*43902
1 3 1047865392 = 2*97*5401368
2 4 1047865392 = 3*7*56*891042
1 3 1047896352 = 9*654*178032
1 3 1047928356 = 2*8037*65194
1 3 1047956238 = 3*8526*40971
1 3 1047982536 = 6*18*9703542
1 2 1048253796 = 138*7596042
1 3 1048257936 = 6*759*230184
1 3 1048325796 = 28*53*706419
1 4 1048359672 = 6*34*59*87102
2 3 1048359672 = 204*531*9678
1 3 1048362579 = 9*17*6852043
1 4 1048372956 = 3*9*57*681204
2 2 1048372956 = 684*1532709
1 3 1048392576 = 4*32*8190567
2 3 1048392576 = 9*14*8320576
3 2 1048392576 = 192*5460378
1 3 1048527396 = 2*8017*65394
1 3 1048537296 = 4*36*7281509
1 3 1048729356 = 9*213*547068
1 2 1048936572 = 57*18402396
1 3 1048953726 = 9*18*6475023
1 2 1048967352 = 57*18402936
1 4 1048973652 = 4*81*537*6029
1 2 1049287356 = 5604*187239
1 3 1049327865 = 81*2605*4973
1 3 1049527368 = 9*204*571638
1 3 1049528736 = 9*134*870256
1 2 1049528763 = 87*12063549
1 2 1049532678 = 87*12063594
1 3 1049532876 = 357*489*6012
2 3 1049532876 = 489*612*3507
1 2 1049586732 = 1734*605298
1 3 1049625378 = 54*69*281703
1 2 1049653728 = 36*29157048
1 3 1049653782 = 87*2391*5046
1 4 1049678352 = 6*8*31*705429
2 2 1049678352 = 837*1254096
1 2 1049678532 = 1428*735069
1 3 1049732865 = 3*87*4021965
1 2 1049736258 = 87*12065934
1 4 1049835276 = 4*63*519*8027
1 2 1049836725 = 12075*86943
1 3 1052364789 = 7*29*5184063
1 2 1052374698 = 51*20634798
1 3 1052374896 = 6*24*7308159
2 3 1052374896 = 24*618*70953
1 3 1052467398 = 27*43*906518
1 4 1052489376 = 6*48*729*5013
2 4 1052489376 = 9*27*864*5013
1 3 1052497638 = 3*6*58472091
1 2 1052639487 = 219*4806573
1 3 1052673894 = 79*83*160542
1 3 1052739846 = 9*58*2016743
1 2 1052749836 = 537*1960428
1 2 1052764983 = 687*1532409
1 3 1052783964 = 9*2537*46108
1 2 1052849763 = 489*2153067
1 4 1052893674 = 3*7*801*62594
1 3 1052894376 = 9*573*204168
1 2 1052934678 = 25086*41973
1 3 1052946378 = 3*6*58497021
1 3 1052947836 = 3*6*58497102
1 4 1052976384 = 3*8*96*457021
1 2 1052976834 = 7389*142506
1 3 1052986473 = 9*231*506487
1 3 1053247968 = 54*937*20816
1 4 1053287496 = 4*6*5301*8279
1 4 1053296748 = 6*7*294*85301
1 4 1053297648 = 8*9*3562*4107
1 2 1053298476 = 5703*184692
1 2 1053428976 = 72*14630958
1 2 1053467982 = 17283*60954
1 3 1053476928 = 48*756*29031
1 4 1053482976 = 8*52*63*40197
1 3 1053692874 = 3*78*4502961
1 2 1053784692 = 1203*875964
1 2 1053842796 = 69*15273084
1 2 1053879624 = 23016*45789
1 4 1053892476 = 6*42*71*58903
2 2 1053892476 = 69*15273804
1 4 1053926874 = 3*7*6051*8294
1 3 1053948672 = 96*504*21783
1 2 1053972648 = 72*14638509
2 2 1053972648 = 216*4879503
1 4 1053972864 = 6*38*504*9172
1 3 1053984672 = 8*5716*23049
1 4 1054238976 = 3*9*672*58104
2 4 1054238976 = 3*72*96*50841
1 4 1054273968 = 6*8*913*24057
2 3 1054273968 = 54*216*90387
3 2 1054273968 = 1458*723096
4 2 1054273968 = 5346*197208
5 2 1054273968 = 19602*53784
1 2 1054362987 = 603*1748529
1 4 1054382976 = 4*32*867*9501
1 4 1054392768 = 8*9*2761*5304
1 2 1054398267 = 843*1250769
1 2 1054632978 = 5703*184926
1 4 1054639872 = 8*9*3201*4576
1 4 1054673298 = 9*86*301*4527
1 3 1054678932 = 9*74*1583602
1 2 1054687392 = 198*5326704
1 2 1054823976 = 69*15287304
1 2 1054863972 = 2196*480357
1 4 1054938672 = 6*38*51*90724
2 3 1054938672 = 9*76*1542308
1 4 1054963728 = 7*91*504*3286
2 3 1054963728 = 806*954*1372
1 3 1054986732 = 2*9*58610374
1 3 1056247398 = 54*691*28307
1 3 1056273894 = 2*801*659347
1 2 1056392784 = 204*5178396
1 2 1056798324 = 708*1492653
1 3 1056893472 = 2*9*58716304
1 4 1056934872 = 8*63*417*5029
1 2 1056937248 = 1962*538704
2 2 1056937248 = 4176*253098
1 4 1057294368 = 3*76*89*52104
2 4 1057294368 = 4*6*501*87932
3 3 1057294368 = 9*2314*50768
1 3 1057294836 = 13*86*945702
1 3 1057326498 = 2*9*58740361
1 2 1057328496 = 21*50348976
2 2 1057328496 = 1752*603498
1 3 1057342896 = 3*72*4895106
1 2 1057364928 = 5184*203967
1 2 1057396428 = 5478*193026
1 3 1057439286 = 9*18*6527403
1 2 1057483692 = 516*2049387
1 4 1057496832 = 8*357*406*912
1 3 1057682934 = 9*231*508746
1 4 1057692384 = 4*6*5012*8793
1 3 1057832964 = 62*379*45018
2 3 1057832964 = 62*549*31078
1 3 1057842936 = 54*673*29108
1 4 1057843962 = 3*42*87*96501
1 3 1057894236 = 6*9402*18753
1 2 1057942368 = 51*20743968
1 2 1057943286 = 51*20743986
1 3 1058276394 = 6*249*708351
1 3 1058374296 = 378*691*4052
1 4 1058376924 = 6*23*957*8014
1 4 1058429376 = 4*8*9*3675102
1 2 1058436792 = 23016*45987
1 2 1058492736 = 3648*290157
1 2 1058493762 = 2586*409317
1 3 1058792436 = 17*6354*9802
1 2 1059236748 = 51*20769348
1 3 1059248736 = 9*5408*21763
1 3 1059263478 = 7*63*2401958
1 4 1059372468 = 4*63*829*5071
1 4 1059387264 = 3*96*508*7241
1 2 1059436872 = 39*27165048
1 2 1059438276 = 39*27165084
1 3 1059438672 = 8*261*507394
1 4 1059643728 = 6*34*572*9081
2 4 1059643728 = 6*52*374*9081
1 3 1059723648 = 3*6192*57048
1 3 1059784236 = 29*5371*6804
2 2 1059784236 = 189*5607324
1 2 1059827643 = 21*50467983
1 3 1059837426 = 6*2193*80547
1 3 1059842736 = 4*3812*69507
1 2 1059874632 = 54*19627308
1 3 1062347895 = 7*4601*32985
1 2 1062437895 = 28641*37095
1 3 1062457398 = 9*5406*21837
1 2 1062489735 = 15*70832649
1 2 1062498753 = 57*18640329
1 2 1062578493 = 20637*51489
1 3 1062597438 = 7*63*2409518
1 3 1062734958 = 71*2943*5086
1 4 1062738495 = 63*87*95*2041
1 2 1062738945 = 15*70849263
1 3 1062793845 = 27*85*463091
1 2 1062945387 = 2049*518763
1 2 1062948735 = 15*70863249
1 2 1062973845 = 15*70864923
1 2 1062973854 = 1458*729063
1 3 1062985437 = 53*81*247609
1 3 1063249785 = 5*247*860931
1 2 1063289754 = 1359*782406
1 2 1063498572 = 7902*134586
2 2 1063498572 = 15804*67293
1 3 1063524978 = 3*6*59084721
1 2 1063589472 = 132*8057496
1 4 1063597248 = 7*59*408*6312
1 3 1063598472 = 3*489*725016
2 3 1063598472 = 326*459*7108
1 4 1063748592 = 9*57*304*6821
1 4 1063785492 = 6*294*751*803
1 3 1063792548 = 98*702*15463
1 2 1063849752 = 2136*498057
1 2 1063872945 = 15*70924863
1 2 1063872954 = 459*2317806
1 4 1063895742 = 7*63*591*4082
1 2 1063897245 = 15*70926483
1 2 1063958247 = 27*39405861
1 4 1063987245 = 9*23*85*60471
1 2 1064358729 = 21*50683749
1 3 1064389275 = 75*219*64803
1 3 1064539728 = 56*207*91834
1 3 1064579328 = 87*1356*9024
1 2 1064723958 = 69*15430782
1 3 1064729358 = 9*154*768203
1 2 1064795382 = 23058*46179
1 3 1064832795 = 9*827*143065
1 4 1064837592 = 3*6*7*8451092
1 3 1064875392 = 296*504*7138
1 5 1064938752 = 4*8*51*72*9063
2 5 1064938752 = 6*8*57*432*901
3 4 1064938752 = 8*54*901*2736
4 4 1064938752 = 32*54*76*8109
5 4 1064938752 = 32*57*648*901
6 3 1064938752 = 459*768*3021
1 3 1064958732 = 6*582*304971
1 3 1064978523 = 9*21*5634807
1 3 1064983752 = 9*8764*13502
1 2 1065234987 = 18609*57243
1 3 1065239784 = 7*963*158024
1 4 1065327984 = 7*9*3128*5406
1 4 1065374892 = 6*74*93*25801
1 3 1065379248 = 9*7024*16853
1 2 1065384972 = 4596*231807
1 2 1065473829 = 21*50736849
1 2 1065723984 = 3984*267501
1 4 1065732948 = 4*83*609*5271
1 2 1065742398 = 21*50749638
1 3 1065782934 = 3*6189*57402
1 4 1065834792 = 6*38*517*9042
1 3 1065893472 = 56*918*20734
1 2 1065973842 = 159*6704238
1 4 1067253894 = 6*43*509*8127
1 3 1067285394 = 2*63*8470519
1 2 1067394852 = 20739*51468
1 3 1067458392 = 4*351*760298
1 3 1067485923 = 7*6489*23501
1 4 1067495382 = 9*51*86*27043
1 3 1067498352 = 3*4176*85209
1 3 1067852394 = 2*63*8475019
1 4 1067923584 = 6*48*52*71309
2 4 1067923584 = 9*52*61*37408
1 4 1067948532 = 7*9*28*605413
1 4 1067953824 = 3*7*56*908124
1 3 1067954328 = 28*54*706319
1 3 1068273594 = 9*46*2580371
1 3 1068274935 = 45*91*260873
1 2 1068325974 = 6*178054329
1 3 1068347952 = 4*9513*28076
2 3 1068347952 = 28*5436*7019
1 3 1068435792 = 54*2036*9718
1 4 1068437952 = 9*32*54*68701
1 3 1068457392 = 3*5847*60912
2 4 1068457392 = 8*27*54*91603
1 3 1068473952 = 208*531*9674
1 3 1068493572 = 4*2781*96053
1 3 1068539472 = 7*308*495612
1 4 1068734952 = 8*9*57*260413
1 4 1068745392 = 6*24*781*9503
2 3 1068745392 = 9*187*635024
3 2 1068745392 = 6708*159324
1 2 1068753492 = 1803*592764
1 3 1068954732 = 3*87*4095612
2 3 1068954732 = 9*87*1365204
1 3 1069237845 = 5*9*23760841
1 2 1069238475 = 3681*290475
1 3 1069275384 = 6*204*873591
1 3 1069283754 = 6*759*234801
1 3 1069345728 = 2*916*583704
1 3 1069352784 = 9*5648*21037
1 2 1069382754 = 6*178230459
1 3 1069384752 = 8*19*7035426
1 2 1069385724 = 6*178230954
1 2 1069538742 = 54*19806273
1 2 1069543728 = 291*3675408
1 3 1069547328 = 3*72*4951608
1 2 1069573248 = 18*59420736
2 2 1069573248 = 27108*39456
1 3 1069578432 = 531*807*2496
1 3 1069582437 = 29*4851*7603
1 3 1069735428 = 9*23*5167804
1 2 1069743258 = 6*178290543
1 3 1069754328 = 9*5816*20437
1 2 1069758324 = 6*178293054
1 2 1069832574 = 6*178305429
1 3 1069837524 = 7*1604*95283
1 3 1072348956 = 9*21*5673804
1 3 1072356894 = 3*42*8510769
1 3 1072358946 = 34*621*50789
1 3 1072365984 = 8*9523*14076
2 2 1072365984 = 5136*208794
1 2 1072539864 = 291*3685704
1 3 1072548936 = 8*19*7056243
1 3 1072563984 = 8*19*7056342
1 3 1072583694 = 6*7041*25389
1 4 1072589364 = 7*34*562*8019
1 3 1072593648 = 9*7208*16534
1 2 1072694583 = 1269*845307
1 2 1072835946 = 39*27508614
1 3 1072839465 = 213*645*7809
1 2 1072849536 = 792*1354608
1 3 1072934856 = 28*54*709613
1 2 1072943568 = 516*2079348
2 2 1072943568 = 2064*519837
1 4 1072963584 = 7*9*56*304128
2 4 1072963584 = 7*54*308*9216
1 3 1073296584 = 8*271*495063
1 2 1073459862 = 20694*51873
1 3 1073469852 = 7*36*4259801
1 3 1073482956 = 3*42*8519706
2 4 1073482956 = 7*52*81*36409
1 3 1073486592 = 16*954*70328
1 3 1073492856 = 8*19*7062453
1 3 1073549862 = 3*5874*60921
2 3 1073549862 = 63*2901*5874
1 3 1073586249 = 9*23*5186407
1 4 1073596824 = 4*9*817*36502
1 4 1073598624 = 7*9*2016*8453
1 3 1073629485 = 19*6723*8405
1 2 1073645928 = 216*4970583
1 3 1073845269 = 7*2549*60183
1 3 1073895462 = 6*591*302847
