1,0,132,132,1+3+(2)
2,0,262,131,(2)+6+(2)
3,14,16524,5508,1+6+5+(2)+(4)
4,84,78140,19535,7+8+(1+4+0)
5,84,78141,15628,7+8+1+(4+1)
6,84,78142,13023,7+8+(1+4)+2
7,84,78143,11163,7+8+(1+4)+3
8,84,78144,9768,7+8+(1+4)+4
9,84,78145,8682,7+8+(1+4)+5
10,84,78146,7814,7+8+(1+4)+6
11,84,78147,7104,7+8+(1+4)+7
12,84,78148,6512,7+8+(1+4)+8
13,84,78149,6011,7+8+(1+4)+9
14,84,78275,5591,7+8+(2)+7+(5)
15,103,94520,6301,9+(4)+(5)+2+0
16,103,94521,5907,9+(4)+(5)+2+1
17,103,94522,5560,9+4+(5)+(2+2)
18,103,94523,5251,9+(4)+5+(2+3)
19,103,94524,4974,9+(4)+(5)+2+4
20,103,94525,4726,9+(4)+(5)+2+5
21,103,94526,4501,9+(4)+(5)+2+6
22,103,94527,4296,9+(4)+(5)+2+7
23,103,94528,4109,9+(4)+(5)+2+8
24,103,94529,3938,9+(4)+(5)+2+9
25,103,94652,3786,9+(4)+6+(5)+(2)
26,210,156265,6010,1+(5)+6+2+6+(5)
27,434,282133,10449,2+8+(2+1+3)+(3)
28,434,282136,10076,2+8+(2+1)+3+(6)
29,434,282263,9733,2+8+(2)+2+(6)+(3)
30,435,282396,9413,(2)+8+(2)+(3)+9+(6)
31,583,360250,11620,(3)+(6)+0+2+(5+0)
32,583,360251,11257,(3)+(6)+0+2+(5)+1
33,583,360252,10916,(3)+(6)+0+2+(5)+2
34,583,360253,10595,3+(6)+0+2+(5)+(3)
35,583,360254,10292,(3)+(6)+0+2+(5)+4
36,583,360255,10007,(3)+(6)+0+2+(5)+5
37,583,360256,9736,(3)+(6)+0+2+(5)+6
38,583,360257,9480,(3)+(6)+0+2+(5)+7
39,583,360258,9237,(3)+(6)+0+2+(5)+8
40,583,360259,9006,(3)+(6)+0+2+(5)+9
41,616,376645,9186,(3)+7+(6)+6+(4)+(5)
42,1469,823561,19608,8+2+3+5+(6+1)
43,1469,823567,19152,8+2+3+5+6+(7)
44,1469,823697,18720,8+(2)+3+6+9+(7)
45,1634,901685,20037,9+(0+1+6)+8+(5)
46,1698,934445,20314,9+(3+4)+(4)+(4)+(5)
1840
