125,86,59332,474,5+(9+(3)+3)+(2)
126,92,63293,502,6+((3)+(2))+(9)+((3))
127,101,68935,542,6+8+(9+(3)+5)
128,140,93312,729,(9+(3))+((3)+1+(2))
129,140,93339,723,(9+(3))+(3)+((3)+9)
130,158,103823,798,(1+(0+3)+8+(2)+3)
131,158,103824,792,1+((0+3)+8+(2)+4)
132,217,122382,927,((1+2)+(2))+((3)+8+(2))
133,217,122383,920,1+((2)+(2)+(3))+(8+(3))
134,688,216125,1612,((2+1)+6+(1+2))+(5)
135,688,216216,1601,((2+1)+6+(2+1))+(6)
136,689,216343,1590,((2+1)+6+(3))+(4+3)
137,689,216347,1579,((2+1)+6+(3))+4+(7)
138,843,238328,1727,((2)+(3)+8+3+(2)+8)
139,843,238340,1714,(2)+((3)+8+(3))+4+0
140,843,238341,1702,(2)+((3)+8+(3))+4+1
141,843,238342,1690,2+((3)+8+(3))+4+(2)
142,843,238343,1678,(2)+((3)+8+(3))+4+3
143,844,238344,1666,(2)+((3)+8+(3))+4+4
144,844,238345,1655,(2)+((3)+8+(3))+4+5
145,844,238346,1643,(2)+((3)+8+(3))+4+6
146,844,238347,1632,(2)+((3)+8+(3))+4+7
147,844,238348,1621,(2)+((3)+8+(3))+4+8
148,844,238349,1610,(2)+((3)+8+(3))+4+9
149,844,238363,1599,2+((3)+8+(3))+6+(3)
150,970,262174,1747,(2)+6+(2)+1+7+((4))
151,970,262194,1736,(2)+6+(2+1)+9+((4))
152,971,262222,1725,(2)+6+((2+2))+(2+2)
153,971,262224,1713,2+6+((2+2))+(2)+(4)
154,971,262243,1702,2+6+((2+2))+(4)+(3)
155,972,262285,1692,2+6+((2+2))+8+(5)
156,973,262374,1681,2+(6)+2+3+7+((4))
157,973,262403,1671,(2)+(6)+(2)+((4))+(0+3)
158,973,262440,1661,(2)+(6)+(2)+((4))+(4+0)
159,973,262441,1650,(2)+(6)+(2)+((4))+(4)+1
160,973,262442,1640,2+(6)+(2)+((4))+(4)+(2)
161,973,262443,1630,(2)+(6)+(2)+((4))+(4)+3
162,973,262444,1620,(2)+(6)+(2)+((4))+(4)+4
163,973,262445,1610,(2)+(6)+(2)+((4))+(4)+5
164,973,262446,1600,(2)+(6)+(2)+((4))+(4)+6
165,973,262447,1590,(2)+(6)+(2)+((4))+(4)+7
166,973,262448,1581,(2)+(6)+(2)+((4))+(4)+8
167,973,262449,1571,(2)+(6)+(2)+((4))+(4)+9
168,975,262644,1563,2+(6)+2+(6)+((4))+(4)
169,975,262684,1554,(2)+6+((2))+6+8+((4))
170,975,262713,1545,2+(6)+(2)+(7)+((1+3))
171,976,262714,1536,2+(6)+(2)+(7)+1+((4))
172,976,262734,1527,2+(6)+2+(7)+(3)+((4))
173,977,262884,1519,2+(6)+2+(8)+8+((4))
174,978,263094,1512,2+(6)+3+(0+9)+((4))
175,978,263124,1503,(2)+(6)+(3)+(1+(2))+((4))
176,979,263182,1495,(2)+6+((3+1))+(8)+((2))
177,981,263384,1488,(2+6)+(3+3)+(8)+((4))
178,981,263411,1479,((2))+(6)+(3)+((4))+((1+1))
179,981,263412,1471,((2))+(6+3)+((4))+(1+2)
180,981,263413,1463,((2))+(6+3)+((4))+1+(3)
181,981,263418,1455,((2))+6+(3)+((4))+(1+8)
182,981,263419,1447,((2))+6+(3)+((4))+1+(9)
183,981,263438,1439,((2))+(6)+(3)+((4))+(3)+(8)
184,982,263439,1431,(2+6)+(3)+((4))+(3)+(9)
185,982,263454,1424,((2))+(6+3)+((4))+5+(4)
186,982,263492,1416,(2)+6+3+((4))+(9+2)
187,982,263544,1409,(2+6+3)+5+((4))+(4)
188,985,263924,1403,(2+6)+(3)+(9)+((2))+((4))
189,986,263944,1396,2+6+(3+9)+((4))+(4)
190,986,263947,1389,2+(6+3)+(9)+((4))+(7)
191,987,264203,1383,((2))+(6)+((4))+((2)+0+3)
192,988,264352,1376,2+6+((4))+3+(5+(2))
193,988,264354,1369,(2)+(6+4+3)+5+((4))
194,988,264355,1362,(2)+6+((4))+(3+5+5)
195,988,264358,1355,(2)+6+((4))+3+(5+8)
196,988,264376,1348,2+6+((4))+(3)+(7+6)
197,989,264390,1342,((2))+6+((4))+(3+9+0)
198,989,264391,1335,((2))+6+((4))+(3+9)+1
199,989,264392,1328,2+6+((4))+(3+9)+((2))
200,989,264393,1321,((2))+6+((4))+(3+9)+3
201,989,264394,1315,((2))+6+4+(3+9)+((4))
202,989,264395,1308,((2))+6+((4))+(3+9)+5
203,989,264396,1302,((2))+6+((4))+(3+9)+6
204,989,264397,1296,((2))+6+((4))+(3+9)+7
205,989,264398,1289,(2)+6+((4))+(3+9)+(8)
206,989,264399,1283,((2))+6+((4))+(3+9)+9
207,989,264448,1277,(2+6)+((4))+(4)+(4+8)
208,989,264449,1271,((2))+(6+4)+((4))+(4)+(9)
209,989,264483,1265,(2)+(6+4)+((4))+(8+3)
210,991,264664,1260,((2))+(6)+((4))+(6+6)+(4)
211,992,264867,1255,(2)+6+((4))+(8)+(6+7)
212,992,264932,1249,((2))+(6)+((4))+(9)+(3+(2))
213,993,265013,1244,((2)+6)+(5)+((0+1+3))
214,993,265014,1238,((2)+6)+(5)+0+1+((4))
215,993,265104,1233,((2)+6)+(5+1)+((0+4))
216,994,265231,1227,((2)+6)+(5+2)+((3+1))
217,994,265234,1222,((2)+6)+(5+2)+3+((4))
218,994,265294,1216,(2)+(6)+(5+(2))+(9)+((4))
219,995,265432,1212,((2)+6)+5+((4))+(3)+((2))
220,997,265674,1207,2+(6+5)+(6+7)+((4))
221,997,265748,1202,((2)+6)+5+(7)+((4))+(8)
222,997,265749,1197,((2)+6)+(5)+7+((4))+(9)
223,1000,266240,1193,(2+6+6+2)+((4+0))
224,1000,266241,1188,(2+6+6+2)+((4))+1
225,1000,266242,1183,(2+6+6+2)+((4))+2
226,1000,266243,1178,(2+6+6+2)+((4))+3
227,1000,266244,1172,(2+6+6+2)+((4))+4
228,1000,266245,1167,(2+6+6+2)+((4))+5
229,1000,266246,1162,(2+6+6+2)+((4))+6
230,1000,266247,1157,(2+6+6+2)+((4))+7
231,1000,266248,1152,(2+6+6+2)+((4))+8
232,1000,266249,1147,(2+6+6+2)+((4))+9
233,1001,266374,1143,((2))+(6+6+3)+(7)+((4))
234,1002,266464,1138,(2)+(6+6+4)+(6)+((4))
235,1002,266624,1134,(2)+(6+6)+(6+(2))+((4))
236,1003,266643,1129,((2)+6)+(6+6)+((4))+(3)
237,1004,266974,1126,((2))+(6)+6+(9+7)+((4))
